Porcentaje,Ganadas,ID,Ranking,Ronda,Ranking medio,Equipo
Adelaide,8.1633,8,14,12.30,1,112.10
Brisbane Lions,3.9038,4,14,15.20,2,121.40
Carlton,11.8618,12,14,10.40,3,102.80
Collingwood,2.6543,2,14,16.60,4,123.80
Essendon,7.0640,6,14,13.20,5,108.60
Fremantle,11.9360,13,14,10.50,6,94.10
Geelong,8.5019,9,14,12.00,7,115.30
Gold Coast,11.2972,11,14,10.90,8,96.40
Greater Western Sydney,12.7612,15,14,9.90,9,94.70
Hawthorn,14.6113,16,14,8.60,10,84.60
Melbourne,3.8173,3,14,15.10,11,127.60
North Melbourne,17.0623,17,14,4.70,12,70.90
Port Adelaide,1.9347,1,14,17.50,13,119.60
Richmond,10.5247,10,14,11.20,14,103.50
St Kilda,7.5803,7,14,12.90,15,107.40
Sydney,12.2973,14,14,10.00,16,99.70
West Coast,17.8704,18,14,2.70,17,53.40
Western Bulldogs,6.9885,5,14,13.30,18,108.50
Adelaide,7.0390,7,14,12.70,1,
Brisbane Lions,5.9760,6,14,13.80,2,
Carlton,14.1089,14,14,7.60,3,
Collingwood,1.1698,1,14,18.90,4,
Essendon,5.2973,5,14,14.60,5,
Fremantle,9.9350,10,14,11.20,6,
Geelong,10.5425,12,14,10.20,7,
Gold Coast,9.7842,9,14,11.30,8,
Greater Western Sydney,13.3630,13,14,8.40,9,
Hawthorn,15.9790,16,14,5.30,10,
Melbourne,2.8549,3,14,16.50,11,
North Melbourne,16.8980,17,14,3.90,12,
Port Adelaide,2.8730,2,14,17.10,13,
Richmond,10.7283,11,14,10.40,14,
St Kilda,4.3700,4,14,15.30,15,
Sydney,13.9360,15,14,7.50,16,
West Coast,18.0000,18,14,1.00,17,
Western Bulldogs,8.1460,8,14,12.50,18,
Adelaide,8.6746,9,14,12.19,1,
Brisbane Lions,5.4294,4,14,15.03,2,
Carlton,11.6658,13,14,10.15,3,
Collingwood,2.6537,1,14,18.11,4,
Essendon,6.7370,6,14,13.97,5,
Fremantle,11.1677,12,14,10.64,6,
Geelong,8.3262,8,14,12.25,7,
Gold Coast,12.0207,14,14,10.01,8,
Greater Western Sydney,12.7278,15,14,9.19,9,
Hawthorn,14.9517,16,14,6.77,10,
Melbourne,3.6137,3,14,16.48,11,
North Melbourne,16.9656,17,14,3.47,12,
Port Adelaide,3.4517,2,14,17.13,13,
Richmond,9.6709,10,14,11.54,14,
St Kilda,6.3642,5,14,14.25,15,
Sydney,10.4872,11,14,10.88,16,
West Coast,17.7983,18,14,2.01,17,
Western Bulldogs,8.2938,7,14,12.95,18,
Adelaide,7.8560,8,14,12.50,1,112.17
Brisbane Lions,4.1418,4,14,15.10,2,117.82
Carlton,12.3454,14,14,10.28,3,101.20
Collingwood,2.1998,2,14,17.03,4,124.28
Essendon,6.5977,5,14,13.48,5,109.30
Fremantle,11.6039,11,14,10.83,6,96.32
Geelong,9.4128,9,14,11.60,7,110.75
Gold Coast,11.7330,12,14,10.75,8,95.87
Greater Western Sydney,12.9720,15,14,9.93,9,95.58
Hawthorn,15.4168,16,14,7.90,10,82.90
Melbourne,3.1923,3,14,15.68,11,127.45
North Melbourne,17.0161,17,14,4.33,12,71.94
Port Adelaide,1.9972,1,14,17.50,13,116.63
Richmond,9.7258,10,14,11.68,14,105.39
St Kilda,7.2076,6,14,13.10,15,108.00
Sydney,12.3239,13,14,10.13,16,100.48
West Coast,17.9442,18,14,2.08,17,54.06
Western Bulldogs,7.3139,7,14,13.15,18,105.95
Adelaide,9.1149,9,14,12.07,1,110.55
Brisbane Lions,4.8105,4,14,14.75,2,118.05
Carlton,13.3853,14,14,9.51,3,91.13
Collingwood,1.8955,1,14,17.33,4,132.64
Essendon,7.9051,8,14,12.85,5,109.08
Fremantle,9.9800,10,14,11.74,6,100.88
Geelong,6.8383,6,14,13.34,7,114.39
Gold Coast,10.9140,12,14,11.20,8,99.37
Greater Western Sydney,14.4032,15,14,8.58,9,88.58
Hawthorn,15.5677,16,14,7.22,10,78.24
Melbourne,2.8289,3,14,16.25,11,128.51
North Melbourne,17.0290,17,14,4.11,12,66.05
Port Adelaide,2.4349,2,14,16.91,13,121.64
Richmond,10.7926,11,14,11.21,14,99.86
St Kilda,6.2697,5,14,13.77,15,114.33
Sydney,11.2176,13,14,10.97,16,98.45
West Coast,17.9084,18,14,2.09,17,51.75
Western Bulldogs,7.7044,7,14,13.10,18,104.18
Adelaide,7.8229,5,14,12.50,1,112.40
Brisbane Lions,4.0468,4,14,15.20,2,118.20
Carlton,12.1702,13,14,10.40,3,101.60
Collingwood,2.2720,2,14,16.90,4,123.90
Essendon,7.3526,7,14,13.10,5,107.20
Fremantle,11.7344,11,14,10.80,6,95.70
Geelong,8.3821,9,14,12.10,7,114.00
Gold Coast,12.0137,12,14,10.60,8,95.10
Greater Western Sydney,13.3559,15,14,9.70,9,94.30
Hawthorn,15.3564,16,14,8.00,10,83.00
Melbourne,3.4957,3,14,15.40,11,125.80
North Melbourne,17.0666,17,14,4.10,12,70.40
Port Adelaide,1.7413,1,14,17.90,13,118.90
Richmond,9.7602,10,14,11.70,14,105.30
St Kilda,6.5961,6,14,13.40,15,109.80
Sydney,12.3555,14,14,10.10,16,100.20
West Coast,17.9092,18,14,2.30,17,54.40
Western Bulldogs,7.5706,8,14,13.00,18,105.20
Adelaide,8.8094,8,14,11.55,1,110.40
Brisbane Lions,4.0927,3,14,14.52,2,120.99
Carlton,12.3144,14,14,9.22,3,100.91
Collingwood,2.4048,2,14,16.04,4,123.81
Essendon,7.0508,7,14,12.50,5,107.46
Fremantle,11.8377,12,14,9.98,6,92.78
Geelong,9.2951,9,14,11.30,7,114.44
Gold Coast,10.7733,11,14,10.57,8,96.83
Greater Western Sydney,12.7404,15,14,9.50,9,94.46
Hawthorn,14.9947,16,14,7.74,10,82.22
Melbourne,4.0895,4,14,14.50,11,127.99
North Melbourne,17.1204,17,14,4.38,12,70.24
Port Adelaide,1.6498,1,14,17.06,13,121.02
Richmond,10.2895,10,14,10.31,14,104.14
St Kilda,6.8481,6,14,12.62,15,108.00
Sydney,12.2104,13,14,9.78,16,101.15
West Coast,17.7777,18,14,2.68,17,52.93
Western Bulldogs,6.7013,5,14,12.74,18,108.74
Adelaide,7.7765,7,14,12.57,1,113.34
Brisbane Lions,4.2280,4,14,15.18,2,119.46
Carlton,11.8155,13,14,9.84,3,101.39
Collingwood,3.1555,2,14,16.35,4,121.05
Essendon,8.0805,9,14,12.67,5,105.11
Fremantle,11.8690,14,14,10.46,6,94.71
Geelong,8.0330,8,14,12.27,7,115.62
Gold Coast,11.2995,11,14,10.78,8,96.45
Greater Western Sydney,13.1260,15,14,9.50,9,93.76
Hawthorn,15.1700,16,14,7.66,10,82.05
Melbourne,3.3310,3,14,15.79,11,130.05
North Melbourne,17.0875,17,14,4.16,12,70.76
Port Adelaide,1.9325,1,14,17.85,13,119.60
Richmond,9.8440,10,14,11.02,14,104.94
St Kilda,7.5460,6,14,12.97,15,107.45
Sydney,11.8135,12,14,10.15,16,100.78
West Coast,17.7930,18,14,2.76,17,57.00
Western Bulldogs,7.0990,5,14,13.34,18,107.16
Adelaide,7.0840,8,14,12.94,1,113.60
Brisbane Lions,6.4700,6,14,13.50,2,111.05
Carlton,13.9520,14,14,9.17,3,94.65
Collingwood,1.8226,1,14,16.84,4,122.05
Essendon,6.1790,5,14,13.74,5,109.94
Fremantle,10.6146,11,14,11.50,6,100.31
Geelong,6.8910,7,14,12.95,7,116.03
Gold Coast,10.4505,10,14,11.61,8,100.35
Greater Western Sydney,14.3227,15,14,8.88,9,90.88
Hawthorn,14.9780,16,14,8.36,10,85.41
Melbourne,3.5475,3,14,15.00,11,121.83
North Melbourne,17.0350,17,14,4.91,12,74.37
Port Adelaide,2.6533,2,14,16.42,13,111.46
Richmond,10.8620,12,14,11.12,14,103.46
St Kilda,5.9190,4,14,13.90,15,110.46
Sydney,11.4146,13,14,10.80,16,102.04
West Coast,17.8909,18,14,2.96,17,60.00
Western Bulldogs,8.9242,9,14,12.40,18,103.11
Adelaide,8.2331,8,14,12.32,1,111.01
Brisbane Lions,4.1221,4,14,15.47,2,120.18
Carlton,12.3620,14,14,9.98,3,99.69
Collingwood,2.7153,2,14,17.05,4,124.08
Essendon,7.4413,6,14,13.11,5,107.31
Fremantle,11.4959,12,14,10.67,6,95.47
Geelong,8.2412,9,14,12.19,7,114.01
Gold Coast,11.4001,11,14,10.73,8,95.79
Greater Western Sydney,13.0508,15,14,9.53,9,93.68
Hawthorn,15.1521,16,14,7.66,10,81.82
Melbourne,3.0069,3,14,16.33,11,131.35
North Melbourne,16.9970,17,14,4.15,12,71.15
Port Adelaide,1.9571,1,14,18.10,13,119.85
Richmond,10.1794,10,14,11.32,14,103.51
St Kilda,7.5214,7,14,13.04,15,107.40
Sydney,11.9137,13,14,10.08,16,100.32
West Coast,17.9118,18,14,2.02,17,53.97
Western Bulldogs,7.2986,5,14,13.25,18,106.55
Adelaide,8.2817,8,14,12.20,1,112.00
Brisbane Lions,4.4384,4,14,14.80,2,118.60
Carlton,12.9698,14,14,9.80,3,98.30
Collingwood,2.0864,2,14,17.10,4,128.70
Essendon,6.6783,6,14,13.40,5,110.00
Fremantle,11.3984,12,14,10.90,6,96.20
Geelong,9.2984,9,14,11.60,7,113.00
Gold Coast,10.6653,11,14,11.20,8,99.00
Greater Western Sydney,12.5330,13,14,10.10,9,95.80
Hawthorn,15.2665,16,14,8.00,10,81.30
Melbourne,3.7846,3,14,15.10,11,127.70
North Melbourne,17.0880,17,14,4.60,12,69.30
Port Adelaide,1.9690,1,14,17.40,13,119.20
Richmond,10.1296,10,14,11.40,14,105.30
St Kilda,6.4617,5,14,13.50,15,111.50
Sydney,12.7376,15,14,9.80,16,98.30
West Coast,17.8411,18,14,3.00,17,53.60
Western Bulldogs,7.3722,7,14,13.10,18,106.70
Adelaide,7.8680,8,14,12.70,1,114.30
Brisbane Lions,4.6670,4,14,15.70,2,117.10
Carlton,13.8840,14,14,7.90,3,94.90
Collingwood,1.7810,2,14,18.60,4,127.80
Essendon,5.7340,6,14,14.90,5,113.90
Fremantle,11.6310,11,14,10.30,6,95.20
Geelong,11.4220,13,14,9.90,7,108.50
Gold Coast,12.1200,12,14,10.00,8,94.60
Greater Western Sydney,14.0600,15,14,8.20,9,93.20
Hawthorn,15.9940,16,14,5.00,10,75.80
Melbourne,2.8400,3,14,17.20,11,130.50
North Melbourne,17.0050,17,14,2.90,12,69.80
Port Adelaide,1.9280,1,14,18.70,13,117.60
Richmond,9.7180,9,14,10.90,14,104.80
St Kilda,4.8470,5,14,15.50,15,117.50
Sydney,10.0860,10,14,11.20,16,103.90
West Coast,17.9760,18,14,1.60,17,56.40
Western Bulldogs,7.4390,7,14,13.50,18,106.80
